,group1,group2,meandiff,p-adj,lower,upper,reject
288,LR,PA,2.3666,0.5999,-0.9414,5.6746,False
289,LR,Perceptron,0.4949,1.0,-2.813,3.8029,False
290,LR,QDA,20.1662,0.0,16.8582,23.4741,True
291,LR,RF,3.0716,0.1118,-0.2363,6.3796,False
292,LR,Ridge,1.1068,1.0,-2.2012,4.4148,False
293,LR,SGD,1.9886,0.8857,-1.3194,5.2966,False
294,LR,SVC,3.3415,0.0442,0.0335,6.6495,True
295,LR,Stacking_ETs,1.2699,0.9998,-2.0381,4.5779,False
296,LR,Stacking_LR,1.0171,1.0,-2.2908,4.3251,False
297,LR,Stacking_NuSCV,0.5424,1.0,-2.7656,3.8504,False
298,LR,Stacking_RF,-0.2453,1.0,-3.5533,3.0627,False
299,LR,Stacking_Ridge,0.5442,1.0,-2.7638,3.8522,False
300,LR,XGB,0.691,1.0,-2.617,3.999,False
301,LinearSVC,NuSVC,1.7319,0.9737,-1.5761,5.0399,False
302,LinearSVC,PA,3.0365,0.1249,-0.2715,6.3445,False
303,LinearSVC,Perceptron,1.1648,1.0,-2.1432,4.4728,False
304,LinearSVC,QDA,20.836,0.0,17.5281,24.144,True
305,LinearSVC,RF,3.7415,0.0089,0.4335,7.0495,True
306,LinearSVC,Ridge,1.7767,0.9643,-1.5313,5.0847,False
307,LinearSVC,SGD,2.6585,0.3459,-0.6495,5.9665,False
308,LinearSVC,SVC,4.0114,0.0027,0.7034,7.3194,True
309,LinearSVC,Stacking_ETs,1.9398,0.9094,-1.3682,5.2478,False
310,LinearSVC,Stacking_LR,1.687,0.981,-1.621,4.995,False
311,LinearSVC,Stacking_NuSCV,1.2123,0.9999,-2.0957,4.5203,False
312,LinearSVC,Stacking_RF,0.4246,1.0,-2.8834,3.7326,False
313,LinearSVC,Stacking_Ridge,1.2141,0.9999,-2.0939,4.5221,False
314,LinearSVC,XGB,1.3609,0.9992,-1.9471,4.6689,False
315,NuSVC,PA,1.3046,0.9996,-2.0034,4.6126,False
316,NuSVC,Perceptron,-0.567,1.0,-3.875,2.741,False
317,NuSVC,QDA,19.1042,0.0,15.7962,22.4122,True
318,NuSVC,RF,2.0097,0.8743,-1.2983,5.3177,False
319,NuSVC,Ridge,0.0448,1.0,-3.2632,3.3528,False
320,NuSVC,SGD,0.9266,1.0,-2.3814,4.2346,False
321,NuSVC,SVC,2.2796,0.6772,-1.0284,5.5876,False
322,NuSVC,Stacking_ETs,0.2079,1.0,-3.1001,3.5159,False
323,NuSVC,Stacking_LR,-0.0448,1.0,-3.3528,3.2632,False
324,NuSVC,Stacking_NuSCV,-0.5196,1.0,-3.8276,2.7884,False
325,NuSVC,Stacking_RF,-1.3073,0.9996,-4.6152,2.0007,False
326,NuSVC,Stacking_Ridge,-0.5178,1.0,-3.8258,2.7902,False
327,NuSVC,XGB,-0.371,1.0,-3.679,2.937,False
328,PA,Perceptron,-1.8716,0.9368,-5.1796,1.4363,False
329,PA,QDA,17.7996,0.0,14.4916,21.1076,True
330,PA,RF,0.7051,1.0,-2.6029,4.013,False
331,PA,Ridge,-1.2598,0.9998,-4.5678,2.0482,False
332,PA,SGD,-0.378,1.0,-3.686,2.93,False
333,PA,SVC,0.9749,1.0,-2.333,4.2829,False
334,PA,Stacking_ETs,-1.0967,1.0,-4.4047,2.2113,False
335,PA,Stacking_LR,-1.3495,0.9993,-4.6574,1.9585,False
336,PA,Stacking_NuSCV,-1.8242,0.952,-5.1322,1.4838,False
337,PA,Stacking_RF,-2.6119,0.3833,-5.9199,0.6961,False
338,PA,Stacking_Ridge,-1.8224,0.9525,-5.1304,1.4856,False
339,PA,XGB,-1.6756,0.9825,-4.9836,1.6324,False
340,Perceptron,QDA,19.6712,0.0,16.3632,22.9792,True
