,group1,group2,meandiff,p-adj,lower,upper,reject
220,GNB,LinearSVC,3.249,0.7772,-1.7335,8.2315,False
221,GNB,NuSVC,0.2232,1.0,-4.7593,5.2057,False
222,GNB,PA,-1.0417,1.0,-6.0242,3.9409,False
223,GNB,Perceptron,-1.2649,1.0,-6.2474,3.7177,False
224,GNB,QDA,23.4871,0.0,18.5046,28.4696,True
225,GNB,RF,1.2897,1.0,-3.6929,6.2722,False
226,GNB,Ridge,0.2232,1.0,-4.7593,5.2057,False
227,GNB,SGD,-1.0417,1.0,-6.0242,3.9409,False
228,GNB,SVC,2.5546,0.9797,-2.428,7.5371,False
229,GNB,Stacking_ETs,-0.1984,1.0,-5.1809,4.7841,False
230,GNB,Stacking_LR,-0.8681,1.0,-5.8506,4.1145,False
231,GNB,Stacking_NuSCV,2.381,0.992,-2.6016,7.3635,False
232,GNB,Stacking_RF,1.0913,1.0,-3.8913,6.0738,False
233,GNB,Stacking_Ridge,1.3145,1.0,-3.668,6.297,False
234,GNB,XGB,0.2232,1.0,-4.7593,5.2057,False
235,GP,KNN,-0.0248,1.0,-5.0073,4.9577,False
236,GP,LDA,1.7361,1.0,-3.2464,6.7186,False
237,GP,LR,0.0,1.0,-4.9825,4.9825,False
238,GP,LinearSVC,3.0258,0.8748,-1.9567,8.0083,False
239,GP,NuSVC,0.0,1.0,-4.9825,4.9825,False
240,GP,PA,-1.2649,1.0,-6.2474,3.7177,False
241,GP,Perceptron,-1.4881,1.0,-6.4706,3.4944,False
242,GP,QDA,23.2639,0.0,18.2814,28.2464,True
243,GP,RF,1.0665,1.0,-3.9161,6.049,False
244,GP,Ridge,0.0,1.0,-4.9825,4.9825,False
245,GP,SGD,-1.2649,1.0,-6.2474,3.7177,False
246,GP,SVC,2.3313,0.9941,-2.6512,7.3139,False
247,GP,Stacking_ETs,-0.4216,1.0,-5.4042,4.5609,False
248,GP,Stacking_LR,-1.0913,1.0,-6.0738,3.8913,False
249,GP,Stacking_NuSCV,2.1577,0.9982,-2.8248,7.1403,False
250,GP,Stacking_RF,0.8681,1.0,-4.1145,5.8506,False
251,GP,Stacking_Ridge,1.0913,1.0,-3.8913,6.0738,False
252,GP,XGB,0.0,1.0,-4.9825,4.9825,False
253,KNN,LDA,1.7609,0.9999,-3.2216,6.7434,False
254,KNN,LR,0.0248,1.0,-4.9577,5.0073,False
255,KNN,LinearSVC,3.0506,0.8654,-1.9319,8.0331,False
256,KNN,NuSVC,0.0248,1.0,-4.9577,5.0073,False
257,KNN,PA,-1.2401,1.0,-6.2226,3.7425,False
258,KNN,Perceptron,-1.4633,1.0,-6.4458,3.5192,False
259,KNN,QDA,23.2887,0.0,18.3062,28.2712,True
260,KNN,RF,1.0913,1.0,-3.8913,6.0738,False
261,KNN,Ridge,0.0248,1.0,-4.9577,5.0073,False
262,KNN,SGD,-1.2401,1.0,-6.2226,3.7425,False
263,KNN,SVC,2.3562,0.9931,-2.6264,7.3387,False
264,KNN,Stacking_ETs,-0.3968,1.0,-5.3794,4.5857,False
265,KNN,Stacking_LR,-1.0665,1.0,-6.049,3.9161,False
266,KNN,Stacking_NuSCV,2.1825,0.9978,-2.8,7.1651,False
267,KNN,Stacking_RF,0.8929,1.0,-4.0897,5.8754,False
268,KNN,Stacking_Ridge,1.1161,1.0,-3.8665,6.0986,False
269,KNN,XGB,0.0248,1.0,-4.9577,5.0073,False
270,LDA,LR,-1.7361,1.0,-6.7186,3.2464,False
271,LDA,LinearSVC,1.2897,1.0,-3.6929,6.2722,False
272,LDA,NuSVC,-1.7361,1.0,-6.7186,3.2464,False
273,LDA,PA,-3.001,0.8837,-7.9835,1.9815,False
274,LDA,Perceptron,-3.2242,0.7895,-8.2067,1.7583,False
275,LDA,QDA,21.5278,0.0,16.5452,26.5103,True
276,LDA,RF,-0.6696,1.0,-5.6522,4.3129,False
277,LDA,Ridge,-1.7361,1.0,-6.7186,3.2464,False
278,LDA,SGD,-3.001,0.8837,-7.9835,1.9815,False
279,LDA,SVC,0.5952,1.0,-4.3873,5.5778,False
280,LDA,Stacking_ETs,-2.1577,0.9982,-7.1403,2.8248,False
281,LDA,Stacking_LR,-2.8274,0.9348,-7.8099,2.1552,False
282,LDA,Stacking_NuSCV,0.4216,1.0,-4.5609,5.4042,False
283,LDA,Stacking_RF,-0.8681,1.0,-5.8506,4.1145,False
284,LDA,Stacking_Ridge,-0.6448,1.0,-5.6274,4.3377,False
285,LDA,XGB,-1.7361,1.0,-6.7186,3.2464,False
286,LR,LinearSVC,3.0258,0.8748,-1.9567,8.0083,False
287,LR,NuSVC,0.0,1.0,-4.9825,4.9825,False
288,LR,PA,-1.2649,1.0,-6.2474,3.7177,False
289,LR,Perceptron,-1.4881,1.0,-6.4706,3.4944,False
290,LR,QDA,23.2639,0.0,18.2814,28.2464,True
291,LR,RF,1.0665,1.0,-3.9161,6.049,False
292,LR,Ridge,0.0,1.0,-4.9825,4.9825,False
293,LR,SGD,-1.2649,1.0,-6.2474,3.7177,False
294,LR,SVC,2.3313,0.9941,-2.6512,7.3139,False
295,LR,Stacking_ETs,-0.4216,1.0,-5.4042,4.5609,False
296,LR,Stacking_LR,-1.0913,1.0,-6.0738,3.8913,False
297,LR,Stacking_NuSCV,2.1577,0.9982,-2.8248,7.1403,False
298,LR,Stacking_RF,0.8681,1.0,-4.1145,5.8506,False
299,LR,Stacking_Ridge,1.0913,1.0,-3.8913,6.0738,False
300,LR,XGB,0.0,1.0,-4.9825,4.9825,False
301,LinearSVC,NuSVC,-3.0258,0.8748,-8.0083,1.9567,False
302,LinearSVC,PA,-4.2907,0.2157,-9.2732,0.6919,False
303,LinearSVC,Perceptron,-4.5139,0.141,-9.4964,0.4686,False
304,LinearSVC,QDA,20.2381,0.0,15.2556,25.2206,True
305,LinearSVC,RF,-1.9593,0.9996,-6.9419,3.0232,False
306,LinearSVC,Ridge,-3.0258,0.8748,-8.0083,1.9567,False
307,LinearSVC,SGD,-4.2907,0.2157,-9.2732,0.6919,False
308,LinearSVC,SVC,-0.6944,1.0,-5.677,4.2881,False
309,LinearSVC,Stacking_ETs,-3.4474,0.6692,-8.43,1.5351,False
310,LinearSVC,Stacking_LR,-4.1171,0.2901,-9.0996,0.8655,False
311,LinearSVC,Stacking_NuSCV,-0.8681,1.0,-5.8506,4.1145,False
312,LinearSVC,Stacking_RF,-2.1577,0.9982,-7.1403,2.8248,False
313,LinearSVC,Stacking_Ridge,-1.9345,0.9997,-6.9171,3.048,False
314,LinearSVC,XGB,-3.0258,0.8748,-8.0083,1.9567,False
315,NuSVC,PA,-1.2649,1.0,-6.2474,3.7177,False
316,NuSVC,Perceptron,-1.4881,1.0,-6.4706,3.4944,False
317,NuSVC,QDA,23.2639,0.0,18.2814,28.2464,True
318,NuSVC,RF,1.0665,1.0,-3.9161,6.049,False
319,NuSVC,Ridge,0.0,1.0,-4.9825,4.9825,False
320,NuSVC,SGD,-1.2649,1.0,-6.2474,3.7177,False
321,NuSVC,SVC,2.3313,0.9941,-2.6512,7.3139,False
322,NuSVC,Stacking_ETs,-0.4216,1.0,-5.4042,4.5609,False
323,NuSVC,Stacking_LR,-1.0913,1.0,-6.0738,3.8913,False
324,NuSVC,Stacking_NuSCV,2.1577,0.9982,-2.8248,7.1403,False
325,NuSVC,Stacking_RF,0.8681,1.0,-4.1145,5.8506,False
326,NuSVC,Stacking_Ridge,1.0913,1.0,-3.8913,6.0738,False
327,NuSVC,XGB,0.0,1.0,-4.9825,4.9825,False
328,PA,Perceptron,-0.2232,1.0,-5.2057,4.7593,False
329,PA,QDA,24.5288,0.0,19.5462,29.5113,True
330,PA,RF,2.3313,0.9941,-2.6512,7.3139,False
331,PA,Ridge,1.2649,1.0,-3.7177,6.2474,False
332,PA,SGD,0.0,1.0,-4.9825,4.9825,False
333,PA,SVC,3.5962,0.5808,-1.3863,8.5788,False
334,PA,Stacking_ETs,0.8433,1.0,-4.1393,5.8258,False
335,PA,Stacking_LR,0.1736,1.0,-4.8089,5.1561,False
336,PA,Stacking_NuSCV,3.4226,0.6835,-1.5599,8.4052,False
337,PA,Stacking_RF,2.1329,0.9985,-2.8496,7.1155,False
338,PA,Stacking_Ridge,2.3562,0.9931,-2.6264,7.3387,False
339,PA,XGB,1.2649,1.0,-3.7177,6.2474,False
340,Perceptron,QDA,24.752,0.0,19.7695,29.7345,True
341,Perceptron,RF,2.5546,0.9797,-2.428,7.5371,False
342,Perceptron,Ridge,1.4881,1.0,-3.4944,6.4706,False
343,Perceptron,SGD,0.2232,1.0,-4.7593,5.2057,False
344,Perceptron,SVC,3.8194,0.4478,-1.1631,8.802,False
345,Perceptron,Stacking_ETs,1.0665,1.0,-3.9161,6.049,False
346,Perceptron,Stacking_LR,0.3968,1.0,-4.5857,5.3794,False
347,Perceptron,Stacking_NuSCV,3.6458,0.5509,-1.3367,8.6284,False
348,Perceptron,Stacking_RF,2.3562,0.9931,-2.6264,7.3387,False
349,Perceptron,Stacking_Ridge,2.5794,0.977,-2.4032,7.5619,False
350,Perceptron,XGB,1.4881,1.0,-3.4944,6.4706,False
351,QDA,RF,-22.1974,0.0,-27.18,-17.2149,True
352,QDA,Ridge,-23.2639,0.0,-28.2464,-18.2814,True
353,QDA,SGD,-24.5288,0.0,-29.5113,-19.5462,True
354,QDA,SVC,-20.9325,0.0,-25.9151,-15.95,True
355,QDA,Stacking_ETs,-23.6855,0.0,-28.668,-18.703,True
356,QDA,Stacking_LR,-24.3552,0.0,-29.3377,-19.3726,True
357,QDA,Stacking_NuSCV,-21.1062,0.0,-26.0887,-16.1236,True
358,QDA,Stacking_RF,-22.3958,0.0,-27.3784,-17.4133,True
359,QDA,Stacking_Ridge,-22.1726,0.0,-27.1552,-17.1901,True
360,QDA,XGB,-23.2639,0.0,-28.2464,-18.2814,True
361,RF,Ridge,-1.0665,1.0,-6.049,3.9161,False
362,RF,SGD,-2.3313,0.9941,-7.3139,2.6512,False
363,RF,SVC,1.2649,1.0,-3.7177,6.2474,False
364,RF,Stacking_ETs,-1.4881,1.0,-6.4706,3.4944,False
365,RF,Stacking_LR,-2.1577,0.9982,-7.1403,2.8248,False
366,RF,Stacking_NuSCV,1.0913,1.0,-3.8913,6.0738,False
367,RF,Stacking_RF,-0.1984,1.0,-5.1809,4.7841,False
368,RF,Stacking_Ridge,0.0248,1.0,-4.9577,5.0073,False
369,RF,XGB,-1.0665,1.0,-6.049,3.9161,False
370,Ridge,SGD,-1.2649,1.0,-6.2474,3.7177,False
371,Ridge,SVC,2.3313,0.9941,-2.6512,7.3139,False
372,Ridge,Stacking_ETs,-0.4216,1.0,-5.4042,4.5609,False
373,Ridge,Stacking_LR,-1.0913,1.0,-6.0738,3.8913,False
374,Ridge,Stacking_NuSCV,2.1577,0.9982,-2.8248,7.1403,False
375,Ridge,Stacking_RF,0.8681,1.0,-4.1145,5.8506,False
376,Ridge,Stacking_Ridge,1.0913,1.0,-3.8913,6.0738,False
377,Ridge,XGB,0.0,1.0,-4.9825,4.9825,False
378,SGD,SVC,3.5962,0.5808,-1.3863,8.5788,False
379,SGD,Stacking_ETs,0.8433,1.0,-4.1393,5.8258,False
380,SGD,Stacking_LR,0.1736,1.0,-4.8089,5.1561,False
381,SGD,Stacking_NuSCV,3.4226,0.6835,-1.5599,8.4052,False
382,SGD,Stacking_RF,2.1329,0.9985,-2.8496,7.1155,False
383,SGD,Stacking_Ridge,2.3562,0.9931,-2.6264,7.3387,False
384,SGD,XGB,1.2649,1.0,-3.7177,6.2474,False
385,SVC,Stacking_ETs,-2.753,0.9509,-7.7355,2.2296,False
386,SVC,Stacking_LR,-3.4226,0.6835,-8.4052,1.5599,False
387,SVC,Stacking_NuSCV,-0.1736,1.0,-5.1561,4.8089,False
388,SVC,Stacking_RF,-1.4633,1.0,-6.4458,3.5192,False
389,SVC,Stacking_Ridge,-1.2401,1.0,-6.2226,3.7425,False
390,SVC,XGB,-2.3313,0.9941,-7.3139,2.6512,False
391,Stacking_ETs,Stacking_LR,-0.6696,1.0,-5.6522,4.3129,False
392,Stacking_ETs,Stacking_NuSCV,2.5794,0.977,-2.4032,7.5619,False
393,Stacking_ETs,Stacking_RF,1.2897,1.0,-3.6929,6.2722,False
394,Stacking_ETs,Stacking_Ridge,1.5129,1.0,-3.4696,6.4954,False
395,Stacking_ETs,XGB,0.4216,1.0,-4.5609,5.4042,False
396,Stacking_LR,Stacking_NuSCV,3.249,0.7772,-1.7335,8.2315,False
397,Stacking_LR,Stacking_RF,1.9593,0.9996,-3.0232,6.9419,False
398,Stacking_LR,Stacking_Ridge,2.1825,0.9978,-2.8,7.1651,False
399,Stacking_LR,XGB,1.0913,1.0,-3.8913,6.0738,False
400,Stacking_NuSCV,Stacking_RF,-1.2897,1.0,-6.2722,3.6929,False
